grupo,fase,fecha,hora_arg,partido,sede
GRUPO A,Fecha 1,11/06/2026,16:00,México vs. Sudáfrica,Estadio Ciudad de México
GRUPO A,Fecha 1,11/06/2026,23:00,Corea del Sur vs. República Checa,Estadio Guadalajara
GRUPO A,Fecha 2,18/06/2026,13:00,República Checa vs. Sudáfrica,Atlanta Stadium
GRUPO A,Fecha 2,18/06/2026,22:00,México vs. Corea del Sur,Estadio Guadalajara
GRUPO A,Fecha 3,24/06/2026,22:00,República Checa vs. México,Estadio Ciudad de México
GRUPO A,Fecha 3,24/06/2026,22:00,Sudáfrica vs. Corea del Sur,Estadio Monterrey
GRUPO B,Fecha 1,12/06/2026,16:00,Canadá vs. Bosnia y Herzegovina,Toronto Stadium
GRUPO B,Fecha 1,13/06/2026,16:00,Qatar vs. Suiza,San Francisco Bay Area Stadium
GRUPO B,Fecha 2,18/06/2026,16:00,Suiza vs. Bosnia y Herzegovina,Los Angeles Stadium
GRUPO B,Fecha 2,18/06/2026,19:00,Canadá vs. Qatar,BC Place Vancouver
GRUPO B,Fecha 3,24/06/2026,16:00,Suiza vs. Canadá,BC Place Vancouver
GRUPO B,Fecha 3,24/06/2026,16:00,Bosnia y Herzegovina vs. Qatar,Seattle Stadium
GRUPO C,Fecha 1,13/06/2026,19:00,Brasil vs. Marruecos,Boston Stadium
GRUPO C,Fecha 1,13/06/2026,22:00,Haití vs. Escocia,New York/New Jersey Stadium
GRUPO C,Fecha 2,19/06/2026,19:00,Brasil vs. Haití,Philadelphia Stadium
GRUPO C,Fecha 2,19/06/2026,22:00,Escocia vs. Marruecos,Boston Stadium
GRUPO C,Fecha 3,24/06/2026,19:00,Escocia vs. Brasil,Miami Stadium
GRUPO C,Fecha 3,24/06/2026,19:00,Marruecos vs. Haití,Atlanta Stadium
GRUPO D,Fecha 1,12/06/2026,22:00,Estados Unidos vs. Paraguay,Los Angeles Stadium
GRUPO D,Fecha 1,14/06/2026,01:00,Australia vs. Turquía,BC Place Vancouver
GRUPO D,Fecha 2,19/06/2026,16:00,Turquía vs. Paraguay,San Francisco Bay Area Stadium
GRUPO D,Fecha 2,19/06/2026,01:00,Estados Unidos vs. Australia,Seattle Stadium
GRUPO D,Fecha 3,25/06/2026,23:00,Turquía vs. Estados Unidos,Los Angeles Stadium
GRUPO D,Fecha 3,25/06/2026,23:00,Paraguay vs. Australia,San Francisco Bay Area Stadium
GRUPO E,Fecha 1,14/06/2026,14:00,Alemania vs. Curazao,Philadelphia Stadium
GRUPO E,Fecha 1,14/06/2026,20:00,Costa de Marfil vs. Ecuador,Houston Stadium
GRUPO E,Fecha 2,20/06/2026,17:00,Alemania vs. Costa de Marfil,Toronto Stadium
GRUPO E,Fecha 2,20/06/2026,21:00,Curazao vs. Ecuador,Kansas City Stadium
GRUPO E,Fecha 3,25/06/2026,17:00,Ecuador vs. Alemania,Philadelphia Stadium
GRUPO E,Fecha 3,25/06/2026,17:00,Curazao vs. Costa de Marfil,New York/New Jersey Stadium
GRUPO F,Fecha 1,14/06/2026,17:00,Países Bajos vs. Japón,Dallas Stadium
GRUPO F,Fecha 1,14/06/2026,23:00,Suecia vs. Túnez,Estadio Monterrey
GRUPO F,Fecha 2,20/06/2026,14:00,Países Bajos vs. Suecia,Houston Stadium
GRUPO F,Fecha 2,20/06/2026,01:00,Japón vs. Túnez,Estadio Monterrey
GRUPO F,Fecha 3,25/06/2026,20:00,Túnez vs. Países Bajos,Dallas Stadium
GRUPO F,Fecha 3,25/06/2026,20:00,Japón vs. Suecia,Kansas City Stadium
GRUPO G,Fecha 1,15/06/2026,A confirmar,Bélgica vs. Egipto,Los Angeles Stadium
